Q106605756	Öjendorfer Damm
Q109911663	Leinpfad 20 (Hamburg)
Q109884378	Leinpfad 6 (Hamburg)
Q94700340	Leinpfadbrücke
Q1242602	Leinpfadkanal
Q114809005	Lemsahler Dorfplatz
Q106605618	Lemsahler Dorfstraße
Q106605619	Lemsahler Landstraße
Q106605620	Lenhartzstraße
Q106962784	Leo-Leistikow-Allee (Hamburg)
Q114809007	Lerchenberg (Hamburg)
Q106335720	Lerchenfeld (Hamburg)
Q98833892	Lesende (Karin Hertz) Hamburg-Poppenbüttel
Q106605621	Lesserstraße (Hamburg)
Q16832835	Lessing-Denkmal (Hamburg)
Q25089801	Lessinghaus (Hamburg)
Q1118191	Lessing-Stadtteilschule
Q114809009	Lessingstraße (Hamburg)
Q65240333	Lessingtunnel
Q19289149	Lettow-Vorbeck-Kaserne (Hamburg)
Q1821374	Leuchtfeuer Seemannshöft
Q1759209	Leuchtturm Bunthäuser Spitze
Q1821415	Leuchtturm Ellerholzhöft
Q1821443	Leuchtturm Neuwerk
Q21561366	Leuchtturm Pagensand Süd
Q106605622	Leuschnerstraße (Hamburg)
Q1821722	Levantehaus
Q114809010	Leverkusenstraße (Hamburg)
Q106605630	Lißmannseck
Q1613747	Lichtwarkschule
Q17617244	Liedenkummer Wettern
Q106605625	Lienaustraße (Hamburg)
Q109689441	Lighthouse Zero
Q112324633	Liliencronpark
Q106605626	Lilienstraße (Hamburg)
Q106605627	Lille Torv (Hamburg)
Q114809012	Lindenallee (Hamburg)
Q106605628	Lindenstraße (Hamburg)
Q106605629	Lippmannstraße (Hamburg)
Q1827909	Lise-Meitner-Gymnasium (Hamburg)
Q1865140	Literaturhaus Hamburg
Q114809013	Litzowstraße
Q38967434	Logenhaus Provinzialloge von Niedersachsen (Hamburg)
Q18628792	Lohbrügge-Nord
Q114809015	Lohbrügger Markt
Q106605631	Lohhof (Hamburg)
Q114809016	Lohkoppel (Hamburg)
Q106605632	Lohkoppelstraße
Q106605633	Lohmühlenstraße (Hamburg)
Q29439094	Lohsepark
Q114809018	Lohseplatz
Q106605634	Lokstedter Damm
Q114809020	Lokstedter Steindamm
Q114809021	Lokstedter Weg
Q1868756	Lombardsbrücke
Q106605635	Lothringer Straße (Hamburg)
Q106605636	Lotsekai
Q114042	Lotsenstation Seemannshöft
Q877591	Lottbek
Q106690042	Louis-Braille-Platz (Hamburg)
Q94494786	Louise-Schroeder-Schule (Hamburg)
Q61858352	LSG Hamburger Elbe
Q114809024	Ludolfstraße (Hamburg)
Q106943857	Ludowieg-Brunnen
Q106714178	Ludwig-Erhard-Straße (Hamburg)
Q106605639	Ludwigstraße (Hamburg)
Q97860280	Luftwerftgraben
Q1876688	Luisen-Gymnasium Bergedorf
Q106605640	Luisenweg (Hamburg)
Q108566814	Lukas-Kirche (Hamburg-Volksdorf)
Q106605641	Lunapark (Hamburg)
Q114809027	Lupinenweg (Hamburg)
Q111537282	Lupinenweg 12 (Hamburg)
Q114809036	Luruper Chaussee
Q106605643	Luruper Hauptstraße
Q108771846	Luruper Hauptstraße 132
Q85782686	Luruper Moorgraben
Q106605644	Lutherhöhe (Hamburg)
Q108566815	Lutherkirche (Hamburg-Bahrenfeld)
Q108566817	Lutherkirche (Hamburg-Eißendorf)
Q1877943	Lutherkirche (Hamburg-Wellingsbüttel)
Q106605645	Lutterothstraße (Hamburg)
Q106605689	Möllner Landstraße (Hamburg)
Q76307576	Mönckebergbrunnen
Q534777	Mönckebergstraße
Q106605690	Mönkedamm
Q114809118	Mörikestraße (Hamburg)
Q11938286	Müggenburger Kanal
Q63349677	Müggenburger Zollhafen
Q11938292	Mühlenau (Kollau)
Q1958461	Mühlenberger Loch
Q60666106	Mühlenberger Loch/Neßsand (FFH-Gebiet)
Q106605700	Mühlenberger Weg (Hamburg)
Q106605701	Mühlendamm (Hamburg)
Q106605702	Mühlenkamp (Hamburg)
Q11938291	Mühlenkampkanal
Q104244133	Mühlenwettern
Q106605703	Mülhäuser Straße (Hamburg)
Q60790824	Müllergraben
Q16218977	Müllverbrennungsanlage Stellinger Moor
Q1382755	Müllverwertung Rugenberger Damm
Q786693	Mümmelmannsberg
Q106605704	Mümmelmannsberg (Straße)
Q114809119	Münsterstraße (Hamburg)
Q106605706	Münzstraße (Hamburg)
Q26794509	M. Glückstadt & Münden, Hamburg
Q15119174	Maakenwerder Hafen
Q1883431	Madonna der Seefahrt
Q114809042	Maetzelweg
Q1454081	Magazin (cinema)
Q114809043	Magdalenenstraße (Hamburg)
Q106387681	Magellan-Terrassen
Q87735861	Mahnmal für die Opfer des Feuersturms
Q56027123	Maiboom'sche Liebesbuche
Q106605646	Malzweg (Hamburg)
Q114809044	Manilaweg
Q114809045	Mannesallee
Q114809046	Mansteinstraße (Hamburg)
Q106605648	Marckmannstraße
Q106387867	Marco-Polo-Terrassen
Q28805437	Marco-Polo-Tower
Q106605649	Maretstraße
Q106605650	Margaretenstraße (Hamburg)
Q19295760	Margaretha-Rothe-Gymnasium
Q21037163	Margarine Voss
Q106605651	Margit-Zinke-Straße
Q1899666	Mariä Himmelfahrt (Hamburg-Rahlstedt)
Q106605652	Maria-Louisen-Straße
Q108566818	Maria-Magdalena-Kirche (Hamburg-Osdorf)
Q114809049	Marie-Jonas-Platz
Q114809053	Marienburger Allee (Hamburg)
Q106605653	Marienhof in Hamburg-Poppenbüttel
Q1897895	Marienkrankenhaus Hamburg
Q106627786	Marien-Magdalenen-Kloster (Hamburg)
Q106605654	Marienstraße (Hamburg)
Q106605655	Marienterrasse (Hamburg)
Q106605656	Marienthaler Straße (Hamburg)
Q65240895	Marion-Dönhoff-Gymnasium (Hamburg)
Q98843775	Marktfrauen (Karin Hertz)
Q1739852	Markthalle Hamburg
Q11935607	Marktkanal
Q1901084	Marktkirche Poppenbüttel
Q106605657	Marktstraße (Hamburg)
Q106605658	Markusstraße (Hamburg)
Q114809063	Marmstorfer Poststraße
Q106605659	Marschnerstraße (Hamburg)
Q106605660	Marschweg (Hamburg)
Q106605661	Martha-Muchow-Weg (Hamburg)
Q114809068	Marthastraße (Hamburg)
Q106605663	Martin-Haller-Ring
Q114809076	Martinistraße (Hamburg)
Q39839480	Martin-Luther-King-Kirche (Hamburg-Steilshoop)
Q114809069	Martin-Luther-King-Platz
Q40719190	Martin-Luther-Kirche (Hamburg-Alsterdorf)
Q108566819	Martin-Luther-Kirche (Hamburg-Iserbrook)
Q114809075	Martin-Luther-Straße (Hamburg)
Q1905680	Martinskirche (Hamburg-Horn)
Q14551330	Martinskirche (Hamburg-Rahlstedt)
Q114809077	Marxsenweg
Q106605665	Massaquoipassage
Q106605666	Mathildenstraße (Hamburg)
Q884363	Matthäuskirche (Hamburg-Winterhude)
Q1377432	Matthias-Claudius-Gymnasium (Hamburg)
Q108566820	Matthias-Claudius-Kirche (Hamburg-Wohldorf-Ohlstedt)
Q15834412	Matthias-Claudius-Kirche Oldenfelde (Hamburg-Rahlstedt)
Q106605667	Maurienstraße
Q106605668	Max-Brauer-Allee
Q106857273	Max-Brauer-Allee 134
Q106857351	Max-Brauer-Allee 136
Q96050916	Max-Brauer-Schule
Q66659669	Max-Schmeling-Stadtteilschule
Q106605670	Maxstraße (Hamburg)
Q56607435	Maxstraßenbrücke
Q88460397	Max-Traeger-Schule
Q114809080	Maybachstraße (Hamburg)
Q106605679	Meßberg (Hamburg)
Q1545737	Meßberghof
Q26836288	Mechelnbusch
Q1916544	Medizinhistorisches Museum Hamburg
Q106605671	Meerweinstraße (Hamburg)
Q106605672	Meiendorfer Mühlenweg (Hamburg)
Q106605673	Meiendorfer Straße
Q114809081	Meiendorfer Weg
Q108566821	Melanchthonkirche (Hamburg-Groß Flottbek)
Q114809082	Mellenbergweg
Q13222174	Mellingbek
Q106980693	Mellinpassage
Q106605674	Memeler Straße (Hamburg)
Q106605675	Memellandallee
Q113627023	Memorial to the 1814 burning of Appelbüttel and Marmstorf by the French
Q1920279	Menck & Hambrock
Q106605676	Mendelssohnstraße (Hamburg)
Q106605677	Mendelstraße (Hamburg)
Q114809083	Mengestraße (Hamburg)
Q1664659	Mennonite cemetery in Hamburg-Altona
Q1419819	Mennonitenkirche (Altona-Nord)
Q41793806	Mercedes-Benz-Werk Hamburg
Q106605678	Merkurring (Hamburg)
Q106605680	Mesterkamp
Q106605681	Methfesselstraße (Hamburg)
Q106605682	Meyer-Delius-Platz
Q106605683	Meyerstraße (Hamburg)
Q26690193	Michaeliskirche (Hamburg-Neugraben)
Q114809092	Michaelispassage (Hamburg)
Q106605684	Michaelisstraße (Hamburg)
Q108566824	Michaels-Kirche (Hamburg-Blankenese)
Q106605685	Milchstraße (Hamburg)
Q106605686	Mildestieg
Q1935490	Millerntor
Q339572	Millerntor-Stadion
Q113815309	Millerntorwache
Q1936597	Mineralogisches Museum Hamburg
Q1454814	Minerva-Brunnen auf dem Altonaer Fischmarkt
Q685524	Miniatur Wunderland
Q28381828	Miramarhaus
Q21040690	Missionsakademie an der Universität Hamburg
Q114809101	Missundestraße (Hamburg)
Q24449534	Mittelweg (Hamburg)
Q110149802	Mittelweg 113 (Hamburg)
Q18629236	Mittelweg 183
Q114809107	Mittlerer Landweg
Q19548062	Modelleisenbahn (Hamburg Museum)
Q79762953	Moderne Schule Hamburg
Q106605688	Molkenbuhrstraße (Hamburg)
Q114809112	Mollerstraße (Hamburg)
Q1943691	Molotow (Hamburg)
Q114809114	Monetastraße
Q19964020	Monsun-Theater
Q109780695	Montblanc (Hamburg-Lurup)
Q107649691	Montessorischule Hamburg-Bergedorf
Q98768912	Montessori-Schule Schäferkampsallee
Q11937565	Moorbek (Lottbek)
Q1946813	Moorburger Berg
Q106605691	Moorburger Burgweg (Hamburg)
Q106605692	Moorburger Elbdeich
Q109285505	Moorburger Elbdeich 249
Q11937566	Moorburger Landscheide
Q106605693	Moorende (Hamburg)
Q100322690	Moorflagengraben
Q106605694	Moorfleeter Deich
Q109639242	Moorfleeter Deich 408
Q11937563	Moorfleeter Kanal
Q1971175	Moorgürtel
Q28712163	Moorgraben (Mühlenau)
Q106605695	Moorhof
Q106605696	Moorkamp (Hamburg)
Q103842676	Moorkampgraben
Q11937564	Moorkanal
Q106605697	Moorreye
Q106605698	Moorstraße (Hamburg)
Q114809115	Moorweg (Hamburg)
Q1728944	Moorweide (Hamburg)
Q114809116	Moorweidenstraße (Hamburg)
Q114240745	Moorwerder Norderdeich 90
Q11937562	Moorwettern in Hamburg-Neuland
Q106096809	Morgenstunde (Gerhard Brandes, 1982)
Q15471700	Mortzenhaus
Q106605699	Mozartstraße (Hamburg)
Q47531777	Mundsburger Brücke
Q106605705	Mundsburger Damm
Q106605707	Musäusstraße (Hamburg)
Q1954642	Museum für Kommunikation Hamburg
Q896052	Museum für Kunst und Gewerbe
Q832762	Museum Godeffroy
Q1954810	Museumsdorf Volksdorf
Q106605708	Museumsplatz (Hamburg)
Q107100416	Museumstraße 15-19 (Hamburg)
Q114809144	Nöldekestraße
Q2006690	Nöpps
Q106605709	Nagelsweg (Hamburg)
Q1970914	Naturschutzgebiet Die Reit
Q63061956	Naturschutzgebiet Duvenwischen
Q14906854	Naturschutzgebiet Holzhafen
Q1971071	Naturschutzgebiet Kiebitzbrack
Q1559139	Naturschutzgebiet Mühlenberger Loch/Neßsand
Q1584978	Naturschutzgebiet Rhee
Q1971441	Naturschutzgebiet Wittenbergen
Q218603	Naturschutzgebiet Zollenspieker
Q106605710	Naumannplatz (Hamburg)
Q19297115	Navigationsschule Hamburg
Q106094995	NDR-Hörfunkstudios Hamburg-Rothenbaum
Q1984062	Neßsand
Q106605711	Neanderstraße (Hamburg)
Q106605712	Neelsenweg
Q114809121	Nehlsstraße
Q106605713	Nehusweg (Hamburg)
Q114809124	Nettelnburger Straße
Q108566827	Neuapostolische Kirche (Hamburg-Barmbek)
Q108566828	Neuapostolische Kirche (Hamburg-Borgfelde)
Q108566829	Neuapostolische Kirche (Hamburg-Langenhorn)
Q108566825	Neuapostolische Kirche Abendrothsweg
Q110556378	Neubau am Geomatikum (Hamburg)
Q106605714	Neubergerweg
Q106635130	Neue Burg (Hamburg)
Q114809125	Neue Gröningerstraße
Q114809126	Neue Rabenstraße
Q1979772	Neue Schule Hamburg
Q104961642	Neue Stillhorner Wettern
Q106605715	Neue Straße (Hamburg)
Q114809128	Neuenfelder Straße (Hamburg)
Q11938620	Neuengammer Durchstich
Q114809129	Neuengammer Hausdeich
Q109614236	Neuengammer Hausdeich 249
Q109653463	Neuengammer Hausdeich 97
Q11938622	Neuengammer Stichkanal
Q98075611	Neuenwallfleet
Q663740	Neuer Elbtunnel
Q1980152	Neuer Jungfernstieg
Q27973301	Neuer Kamp
Q14547022	Neuer Niendorfer Friedhof
Q1980212	Neuer Pferdemarkt
Q106605716	Neuer Steinweg (Hamburg)
Q1980234	Neuer Wall
Q106980761	Neuer Wall 13
Q106605717	Neuer Wandrahm
Q1590384	Neuer Wandrahm 10
Q26260841	Neuerwegsbrücke
Q48756509	Neues Krematorium (Hamburg-Ohlsdorf)
Q11938625	Neuhöfer Kanal
Q114809131	Neuhöfer Straße (Hamburg)
Q66049663	Neuhof (Hamburg)
Q106605718	Neuländer Elbdeich
Q110915181	Neuländer Elbdeich 206
Q34418025	Neuländer Moorwiesen
Q52356228	Neuländer Wettern
Q1980940	Neumühlen
Q106605721	Neumünstersche Straße
Q106605719	Neumann-Reichardt-Straße
Q106605720	Neumoorstück
Q106605722	Neustädter Neuer Weg
Q114809133	Neustädter Straße (Hamburg)
Q1622	Neuwerk
Q106917236	Neuwerk radar tower
Q114809134	Neuwiedenthaler Straße
Q106605724	New-York-Ring
Q64080330	New-York-Ring 6 und 6a
Q114809136	New-York-Weg
Q877805	Niederelbebahn
Q1986601	Niederländisches Ehrenfeld
Q105374987	Niedernfelder Brücke
Q114809137	Niedernfelder Ufer
Q106605725	Niedernstraße (Hamburg)
Q106605726	Niekampsweg (Hamburg)
Q67120218	Niels-Stensen-Gymnasium (Hamburg)
Q114809139	Niemannstraße (Hamburg)
Q1652585	Niendorfer Gehege
Q106605727	Niendorfer Marktplatz
Q1803781	Nienstedtener Friedhof
Q1989198	Nienstedtener Kirche
Q103901574	Niewischgraben
Q3081	Nigehörn
Q108566830	Nikodemuskirche (Hamburg-Ohlsdorf)
Q1991075	Nikolaifleet
Q23893802	Nobelshof
Q1480053	Nobistor
Q106605728	Nonnenstieg (Hamburg)
Q106605730	Norbert-Schmid-Platz in Hamburg-Hummelsbüttel
Q27477441	Nordbake Neuwerk
Q1997819	Norddeutscher Regattaverein
Q1997911	Norderelbe
Q106605731	Norderhof (Hamburg)
Q106605732	Norderkai-Ufer
Q11938935	Norderloch
Q105626768	Norderschule Finkenwerder
Q106605733	Norderschulweg
Q106605734	Norderstraße (Hamburg)
Q106605735	Nordkanalstraße
Q114809140	Nordmeerstraße (Hamburg)
Q114809142	Nordschleswiger Straße
Q106605736	Normannenweg (Hamburg)
Q17765644	Norwegische Seemannskirche Hamburg
Q106605737	Notkestraße
Q105954837	Notkestraße 23
Q106605738	Novalisweg
Q106605739	Nydamer Weg
Q1687945	Nyegaard-Stift
Q107291509	Nymphenweg (Hamburg)
Q107245501	Nymphenweg 22 (Hamburg)
Q15058336	O’Swaldkai
Q106605740	Oben Borgfelde
Q106605741	Oberaltenallee
Q29015495	Oberbillwerder
Q1821457	Oberfeuer Tinsdal
Q15058216	Oberhafen
Q19297473	Oberhafenbrücke
Q18005208	Oberhafenkanal
Q2009752	Oberhafenkantine
Q19259073	Oberpostdirektion Hamburg
Q106605742	Oberschlesische Straße (Hamburg)
Q106605743	Oberstraße (Hamburg)
Q106605744	Ochsenweberstraße
Q106605745	Ochsenwerder Elbdeich
Q107377393	Ochsenwerder Elbdeich 251
Q114809159	Ochsenwerder Landscheideweg
Q106605746	Ochsenwerder Norderdeich
Q109715802	Ochsenwerder Norderdeich 210
Q106605747	Oderfelder Straße (Hamburg)
Q114809178	Oelckersallee
Q106605748	Oesterleystraße (Hamburg)
Q106605749	Ohkamp
Q106605750	Ohkampring
Q106605751	Ohlendieck
Q18629535	Ohlendorff'sche Villa
Q106605752	Ohlendorffstraße (Hamburg)
Q106605753	Ohlenkamp (Hamburg)
Q100782248	Ohlmoorgraben
Q106605755	Ohlsdorfer Straße
Q98382760	Ohmoorgraben
Q896171	Ohnsorg-Theater
Q114809183	Ohrnsweg
Q106605758	Oktaviostraße
Q106605759	Oldenfelder Straße
Q114809184	Oldesloer Straße (Hamburg)
Q106690034	Ole Enn
Q106605760	Olivaer Straße
Q45588139	Olympiastützpunkt Hamburg/Schleswig-Holstein
Q114809185	Oortkatenweg
Q2026630	Operettenhaus (Hamburg)
Q317455	Opernhaus am Gänsemarkt
Q788227	Opernloft
Q106605762	Ophagen
Q106605763	Opitzstraße (Hamburg)
Q106690030	Oppelner Straße (Hamburg)
Q106605764	Ortrudstraße (Hamburg)
Q106605765	Osakaallee (Hamburg)
Q2033164	Osdorfer Born
Q106605766	Osdorfer Landstraße
Q106485367	Osdorfer Mühle
Q106605768	Osdorfer Weg
Q27477445	Ostbake Neuwerk
Q321993	Osterbek
Q106605769	Osterbekstraße
Q106135763	Osterbekstraße 107
Q106605770	Osterbrook (Hamburg)
Q1382708	Osterkirche (Hamburg-Bramfeld)
Q16552799	Osterkirche (Hamburg-Ottensen)
Q106605771	Osterstraße (Hamburg)
Q106605772	Ostfrieslandstraße (Hamburg)
Q106605774	Othmarscher Kirchenweg
Q106977117	Ottenser Hauptstraße
Q106605775	Ottenser Marktplatz
Q2041140	Otto von Bahrenpark
Q65966990	Otto-Hahn-Schule (Hamburg)
Q106690036	Otto-Speckter-Straße
Q15837868	Otto-Wels-Straße (Hamburg)
Q106605778	Otzenstraße (Hamburg)
Q114809207	Pöseldorfer Weg
Q106605818	Püttenhorst
Q106605781	Pagenfelder Straße
Q2048138	Palmaille
Q106605782	Palmerstraße (Hamburg)
Q99618356	Pannsgraben
Q1773801	Panoptikum Hamburg
Q114809188	Panzerstraße (Hamburg)
Q106605783	Papenhuder Straße (Hamburg)
Q114809189	Papenkamp (Hamburg)
Q106605784	Papenstraße (Hamburg)
Q106605785	Pappelallee (Hamburg)
Q106605786	Parkallee (Hamburg)
Q114809191	Parkstraße (Hamburg)
Q64577227	Paul-Gerhardt-Kirche (Hamburg-Bahrenfeld)
Q108566831	Paul-Gerhardt-Kirche (Hamburg-Wilhelmsburg)
Q108307610	Paul-Gerhardt-Kirche (Hamburg-Wilstorf)
Q54339437	Paul-Gerhardt-Kirche (Hamburg-Winterhude)
Q106605790	Paulinenstraße (Hamburg)
Q106605787	Paul-Nevermann-Platz (Altona)
Q106605788	Paul-Roosen-Straße
Q106605789	Paul-Sorge-Straße
Q108566832	Pauluskirche (Hamburg-Hamm)
Q106605791	Pelzerstraße (Hamburg)
Q106605792	Pepermölenbek
Q106605793	Pergamentweg
Q106605794	Perlstieg
Q104884105	Pestalozzi-Schule (Hamburg)
Q114809192	Pestalozzistraße (Hamburg)
Q96655791	Peterstraße (Hamburg)
Q101421672	Petruskirche (Hamburg-Lokstedt)
Q11941364	Peutekanal
Q114809194	Peutestraße
Q18629838	Pfeilerbahn (Hamburg)
Q106605795	Pfenningsbusch
Q67143746	Pferd-Akrobatin (Gisela Engelin-Hommes) Meiendorf (Hamburg-Rahlstedt)
Q112277937	Pferdestall (Universität Hamburg)
Q106605796	Pfingstberg (Hamburg)
Q62998758	Philemon-Kirche (Hamburg-Hummelsbüttel)
Q108566834	Philippuskirche (Hamburg-Eimsbüttel)
Q108566835	Philippuskirche (Hamburg-Horn)
Q2088197	Philosophenturm (Hamburg)
Q114809196	Philosophenweg (Hamburg)
Q99735910	Phoenixhof
Q66004225	Phorms-Schule Hamburg
Q106605797	Pickhuben (Hamburg)
Q113212013	Pickhubenbrücke
Q106605798	Pilatuspool
Q76307530	Pinguinbrunnen (Hamburg)
Q106605799	Pinnasberg
Q114809197	Pinneberger Straße (Hamburg)
Q2030268	Pipe organs of St. Michaelis (Hamburg)
Q114809199	Plöner Straße (Hamburg)
Q106605800	Platz der Deutschen Einheit (Hamburg)
Q106605801	Platz der Jüdischen Deportierten
Q19298641	Platz der Republik (Hamburg)
Q106605812	Poßmoorweg
Q106605802	Poelchaukamp
Q106605803	Poggenmühle
Q100320780	Poggenmühlenbrücke (Hamburg)
Q106605804	Poggfreedweg
Q30909571	Polish Consulate, Hamburg
Q14540553	Polnische Gedenkstätte at Friedhof Ohlsdorf
Q86665646	Polstjernan (ship, 1920)
Q106605805	Poolstraße (Hamburg)
Q106605806	Poppelauweg
Q106605807	Poppenbütteler Berg
Q75195449	Poppenbütteler Weg
Q114809200	Poppenbütteler Weg (Poppenbüttel)
Q106605809	Poppenbüttler Hauptstraße
Q106605810	Poppenbüttler Landstraße
Q110814006	Poppenbüttler Schleuse
Q106605811	Poppenbüttler Stieg
Q2105354	Portugiesenviertel
Q2105998	Postbrücke (Hamburg)
Q1407367	Postgebäude Schlüterstraße (Hamburg)
Q106605813	Poststraße (Hamburg)
Q106605814	Potsdamer Straße (Hamburg)
Q114809202	Potsdamer Ufer
Q106605815	Pröbenweg (Hamburg)
Q114809203	Preetzer Straße (Hamburg)
Q27925553	Prien-Haus
Q114809205	Promenadenstraße (Hamburg)
Q16886704	Prototyp (Museum)
Q114438567	Proviantamt Bahrenfeld
Q1316499	Public transport in Hamburg
Q106605816	Pulverteich (Hamburg)
Q47208544	Pulverturmsbrücke
Q106605817	Pumpen (Hamburg)
Q106605819	Quellental (Hamburg)
Q106605820	Quellenweg (Hamburg)
Q97768048	Quellgraben (Tarpenbek)
Q106605821	Quellmoor (Hamburg)
Q106605822	Querkamp (Hamburg)
Q18006069	Querkanal
Q108368052	Röbbek 4
Q15059619	Rödingsmarkt
Q97988328	Rödingsmarkt 19
Q79279475	Rögenweg
Q1297111	Römischer Garten (Hamburg-Blankenese)
Q114809244	Rönneburger Straße (Hamburg)
Q106605862	Rönnkamp
Q99542950	Rönnkampgraben
Q20108802	Röthmoorgraben
Q106605868	Röthmoorweg
Q106605869	Rübenkamp
Q11946496	Rückerskanal
Q106605870	Rückertstraße (Hamburg)
Q18006488	Rüschkanal
Q1971247	Raakmoor
Q11944363	Raakmoorgraben
Q106605823	Raaksheide
Q106605824	Rabenhorst (Hamburg)
Q106605825	Raboisen (Hamburg)
Q114809208	Rademachergang (Hamburg)
Q114809211	Radickestraße (Hamburg)
Q878050	Radio Hamburg
Q826376	Radisson SAS, Hamburg
Q316481	Rahlau
Q106605826	Rahlstedter Bahnhofstraße
Q106605827	Rahlstedter Dorfplatz
Q113015077	Rahlstedter SC
Q106605828	Rahlstedter Straße (Hamburg)
Q106605829	Rahlstedter Weg
Q15841622	Rainer Abicht Elbreederei
Q19964075	Rainvilleterrasse
Q114237850	Rainvilleterrasse 4
Q114809212	Raja-Ilinauk-Straße
Q106605831	Rantzaustraße (Hamburg)
Q60666126	Rapfenschutzgebiet Hamburger Stromelbe (FFH-Gebiet)
Q95470222	Raphael-Schule (Hamburg)
Q114809214	Rappstraße (Hamburg)
Q2132641	Rathaus an der Trostbrücke
Q2132543	Rathaus Harburg (Hamburg)
Q112633503	Rathaus Stellingen
Q106605832	Rathausstraße (Hamburg)
Q18696778	Rathauswettern
Q56035928	Rathenaubrücke (Hamburg)
Q106605833	Rathenaustraße (Hamburg)
Q1527803	Ratsherrn
Q106605834	Ratsmühlendamm
Q106605835	Rautenbergstraße (Hamburg)
Q19624774	RE1 (VMV)
Q19759336	Reclining Figure: Hand - Henry Moore (LH 709, Hamburg)
Q106690028	Redderbarg
Q2136514	Reederei Nord
Q106605836	Reekamp
Q106685195	Reemtsma-Park
Q111142048	Reeseberg 8
Q2136598	Reesendammbrücke
Q106690041	Reesestraße (Hamburg)
Q66022920	Reformed churches in Hamburg
Q108566836	Reformierte Kirche Ferdinandstraße (Hamburg)
Q106605837	Regerstraße (Hamburg)
Q58370259	Reginenortbrücke
Q106605838	Reginenstraße (Hamburg)
Q1451393	Regionalpark Rosengarten
Q106605839	Rehmbrook
Q79353948	Rehmkoppel
Q79346248	Rehmkoppelstieg
Q1532436	Reichenstraßenfleet
Q107453317	Reichsbahnstraße (Hamburg)
Q41804671	Reichspräsident-Ebert-Kaserne
Q877270	Reiherstieg
Q114809215	Reiherstieg-Hauptdeich
Q20108770	Reiherstiegwettern
Q106605840	Reimerstwiete
Q106605841	Reinbeker Redder
Q114809216	Reinbeker Weg (Hamburg)
Q110214746	Reinbeker Weg 35
Q106605842	Reineckestraße (Hamburg)
Q106605843	Reinholdstraße (Hamburg)
Q106605844	Reismühle (Hamburg)
Q2142054	Reitbrooker Mühle
Q11945197	Reitbrooker Sammelgraben
Q114809219	Reller (Hamburg)
Q106605845	Rennbahnstraße (Hamburg)
Q114809221	Rentzelstraße
Q106605846	Repsoldstraße (Hamburg)
Q2146155	Rethe
Q2146149	Rethe-Hubbrücke
Q46162686	Rethe-Klappbrücke
Q106605847	Revaler Straße (Hamburg)
Q114809223	Reventlowstraße (Hamburg)
Q24666139	Rhythmus im Raum (Max Bill, Hamburg)
Q114809225	Richard-Dehmel-Straße (Hamburg)
Q106605848	Richard-Linde-Weg (Hamburg)
Q106605849	Richardstraße (Hamburg)
Q106605850	Richterstraße (Hamburg)
Q15126115	Rieckhof Hamburg-Harburg
Q106605852	Rieckhoffstraße
Q921940	Rieckhuus
Q2152282	Riepenburg
Q1433126	Ring 1 (Hamburg)
Q20731702	Ring 2 (Hamburg)
Q29578566	Ring 3 (Hamburg)
Q73891418	Ringkanal (Hamburg)
Q114809228	Ringstraße (Hamburg)
Q106605853	Rissener Dorfstraße
Q114809231	Rissener Landstraße
Q106605854	Ritterstraße (Hamburg)
Q106605855	Rittmerskamp
Q110889393	Roßberg 33 (Hamburg)
Q11946338	Roßkanal
Q114809238	Roßweg (Hamburg)
Q106605856	Robert-Koch-Straße (Hamburg)
Q114809232	Rockenhof (Hamburg)
Q107855458	Rockspektakel
Q877543	Rodenbek (river)
Q1402655	Rodenbeker Quellental
Q106605857	Rodenbeker Straße
Q100775203	Rodenkampgraben
Q106605858	Rodenkampweg
Q106605859	Rodigallee
Q108566839	Rogate-Kirche Meiendorf
Q106605860	Roggenkamp (Hamburg)
Q76414999	Rolfinckstraße
Q106605861	Rondeel (Hamburg)
Q11946198	Rondeelkanal
Q106962782	Roonstraße (Hamburg)
Q111508192	Rosentreppe
Q106605863	Rostocker Straße (Hamburg)
Q114809235	Rotbergfeld (Hamburg)
Q684932	Rote Flora
Q114809236	Rote-Kreuz-Straße (Hamburg)
Q106605864	Rotenhäuser Damm
Q106605865	Rotenhäuser Straße
Q2168643	Rothenbaumchaussee
Q106605866	Rothenhauschaussee
Q106605867	Rothestraße (Hamburg)
Q1971275	Rothsteinsmoor
Q114809239	Rubbertstraße
Q56426045	Rudolf-Steiner-Schule Altona
Q56426028	Rudolf-Steiner-Schule Bergedorf
Q106653069	Rudolf-Steiner-Schule Bergstedt
Q56425966	Rudolf-Steiner-Schule Harburg
Q56425985	Rudolf-Steiner-Schule Nienstedten
Q56426010	Rudolf-Steiner-Schule Wandsbek
Q106605871	Rudolphiplatz
Q63349276	Rugenberger Hafen
Q15126487	Rugenberger Schleuse
Q90887165	Rumbaumsche Schule
Q114809241	Rumpffsweg
Q106460498	Rundbunker Schwarzenbergstraße
Q106605872	Rungwisch
Q114809243	Ruschorter Hauptdeich
Q109707540	Ruschorter Hauptdeich 14
Q106605873	Rutschbahn (Hamburg)
Q106605874	Ruwoldtweg
Q114809334	Sägemühlenstraße (Hamburg)
Q113174068	Säule mit Figurengruppe (E. Augustin) HH-Billstedt
Q827919	Süderelbe
Q101088155	Süderschule (Hamburg)
Q106605992	Süderstraße (Hamburg)
Q11950701	Südkanal
